ICD10;AirP;AQHI;SA;CO;SC;O3;SO;PM2.5;SP;AQHIX;SX;NO2;SN;O3H8;SH;SO2;SS;LAG
C00 - D48;Age 11-60 All;0.007504507;0.00835108;-0.07861881;0.071649;0.000474703;0.000998941;0.000679508;0.001051684;0.0024291;0.005699704;0.00061802;0.000989676;-6.91E-05;6.54E-04;0.003927392;0.005111709;4
C00 - D48;Age 11-60 Female;-0.001729531;0.009140877;-0.12130563;0.07832719;0.000266059;0.001090521;5.45E-05;1.15E-03;-0.005587485;0.006233849;-0.00047204;0.001081565;-0.000871555;0.000715188;0.003049024;0.005599375;4
C00 - D48;Age 11-60 Male;0.02304635;0.01032423;-0.006810455;0.088796487;0.000836266;0.001240961;0.00172248;0.001297634;0.015945831;0.007052521;0.00246299;0.001226744;0.001279677;0.000808212;0.005414758;0.006314168;4
C00 - D48;Age 60+All;0.001354082;0.008035635;-0.03662697;0.06901625;-0.00036337;0.00095255;0.000652885;0.001012468;-0.002823495;0.005486734;0.000121788;0.000958812;-0.000819947;0.000622865;-0.002275736;0.004980145;4
C00 - D48;Age 60+ Female;0.002790586;0.009180609;-0.07504346;0.07877371;0.000650317;0.001087143;0.000400167;0.00115677;-0.001969551;0.006264345;-0.000144095;0.001094424;-0.000325055;0.000711426;-0.003125231;0.005725275;4
C00 - D48;Age 60+ Male;0.000227522;0.00893574;-0.00457323;0.07680427;-0.001203695;0.001059999;0.000868944;0.001125881;-0.003486827;0.006104793;0.000349008;0.00106701;-0.001225802;0.000692752;-0.001537642;0.005509839;4
C00 - D48;All: LAG 5;-0.00126662;0.00763283;-0.07544765;0.0647847;0.000604564;0.000899246;-0.000393441;0.000961881;0.001307484;0.00520853;-0.000389921;0.000914331;0.000715054;0.000587452;-0.000440673;0.004625783;5
C00 - D48;Female;-0.003477819;0.008165113;-0.10925842;0.06917968;0.000741255;0.000961522;-0.000740571;0.001028592;-0.000318114;0.005570284;-0.000673274;0.000976062;0.000623766;0.000629647;0.001062095;0.004936652;5
C00 - D48;Male;0.001191969;0.00837041;-0.03756482;0.0711856;0.000453693;0.000986673;-6.30E-06;1.06E-03;0.003114053;0.005713574;-7.31E-05;1.01E-03;0.00081598;0.000642877;-0.002131321;0.005086245;5
C00 - D48;Warm All;0.011441476;0.006171362;0.10872162;0.07028365;0.002099022;0.000738349;0.001801398;0.000867232;0.007576438;0.004268246;-0.000162476;0.00093764;0.001426228;0.000415911;0.002200067;0.004868978;5
C00 - D48;Warm Female;0.006962602;0.006803007;0.03610509;0.0775028;0.001928936;0.000812404;0.000972857;0.000957391;0.005203884;0.0046988;-0.000683324;0.001031841;0.001256806;0.000458283;0.003844972;0.005370062;5
C00 - D48;Warm Male;0.016352226;0.006894313;0.18816602;0.07847366;0.002288595;0.000826818;0.002706688;0.000967174;0.01018873;0.004775767;0.000409815;0.001049335;0.001612887;0.000465123;0.000397909;0.00543629;5
C00 - D48;Cold All;-0.018761785;0.009499224;-0.15600758;0.06217677;-0.00210231;0.001102907;-0.002167751;0.001045299;-0.005713631;0.006412802;-0.000206586;0.000914418;-0.001953708;0.000995488;-0.000665009;0.004505211;5
C00 - D48;Cold Female;-0.017532133;0.009926547;-0.168243465;0.065009599;-0.001587151;0.001155789;-0.002039952;0.001092569;-0.006407357;0.006710212;-0.000346217;0.000956309;-0.001852095;0.001044452;0.000730306;0.004706743;5
C00 - D48;Cold Male;-0.02022813;0.01033087;-0.142397;0.0675804;-0.002684724;0.001195597;-0.002319116;0.001136456;-0.004961725;0.006963428;-5.16E-05;9.94E-04;-0.002072289;0.001077798;-0.002274619;0.004900392;5
C00 - D48;Age 0-10 All;0.03272213;0.03289324;0.001455784;0.27725244;0.00189965;0.00399542;0.002673111;0.004079509;0.02251882;0.02277142;0.002981528;0.00395177;0.002294017;0.002584335;-0.002290699;0.01974298;5
C00 - D48;Age 0-10 Female;-0.0501876;0.0408822;-0.71663118;0.35753554;0.001429328;0.004996355;-0.00543908;0.005051618;-0.02960995;0.02833737;-0.006603634;0.004968013;-0.00019683;0.003207057;-0.05771004;0.02500719;5
C00 - D48;Age 0-10 Male;0.115328285;0.040435855;0.63286408;0.33189815;0.002533363;0.004862567;0.010737587;0.005026784;0.07438284;0.02791875;0.012057674;0.004804458;0.004922456;0.003172822;0.05403906;0.02394127;5
C00 - D48;Age 11-60 All;0.001950727;0.008430943;-0.0722392;0.07144079;0.000598406;0.000997064;-0.000370088;0.001062747;0.004510291;0.005755793;0.000149726;0.001007695;0.000936653;0.00065236;0.000401694;0.005074712;5
C00 - D48;Age 11-60 Female;-0.001494128;0.009227534;-0.0821258;0.07796319;0.000448735;0.001091544;-0.000680168;0.001162128;0.001400319;0.006302531;-0.00017904;0.001100689;0.000532069;0.000715644;0.001766201;0.005539266;5
C00 - D48;Age 11-60 Male;0.007777762;0.01044761;-0.05516746;0.08897849;0.000847476;0.001235104;0.000156691;0.001319009;0.009774484;0.00712682;0.000714262;0.001253043;0.001614014;0.000805337;-0.001934739;0.006317248;5
C00 - D48;Age 60+All;-0.004085117;0.008123469;-0.07869353;0.06904517;0.000590997;0.000954027;-0.000448595;0.001023784;-0.001330184;0.005540169;-0.000835618;0.000974646;0.000532892;0.000622619;-0.001055907;0.004949167;5
C00 - D48;Age 60+ Female;-0.004870143;0.009295569;-0.12957294;0.07896297;0.001029568;0.001089008;-0.000740282;0.00117173;-0.001664452;0.006331945;-0.001104226;0.001113368;0.00072985;0.000712485;0.001176081;0.005661705;5
C00 - D48;Age 60+ Male;-0.003433175;0.009021921;-0.03662329;0.07671141;0.000229172;0.001061692;-0.000206864;0.001136804;-0.001059373;0.006159016;-0.000614382;0.00108399;0.000370757;0.000691487;-0.002892018;0.00549788;5
C00 - D48;All: LAG 6;-0.014033112;0.007550512;-0.14193282;0.06668799;0.000290259;0.000921515;-0.00204277;0.000947828;-0.008508345;0.005111083;-0.001462851;0.000894351;-0.000531562;0.00058756;-0.012686258;0.004545661;6
C00 - D48;Female;-0.015291763;0.008073338;-0.16143035;0.07117473;0.00058086;0.000986123;-0.002111462;0.001013411;-0.009848573;0.005467146;-0.001799238;0.000956061;-0.000495863;0.00062944;-0.01495413;0.004871426;6
C00 - D48;Male;-0.01262805;0.00828631;-0.1200191;0.07333585;-3.26E-05;1.01E-03;-0.001965793;0.001040288;-0.007016623;0.00560635;-0.001087293;0.000981667;-0.000571196;0.000643414;-0.010168755;0.004976076;6
C00 - D48;Warm All;-0.008949708;0.00616913;-0.04183717;0.07137299;0.000162593;0.000759397;-0.000935885;0.000865434;-0.007360633;0.004178668;-0.001831202;0.000901133;-0.000400444;0.000417575;-0.016004219;0.004734914;6
C00 - D48;Warm Female;-0.008097413;0.006786923;-0.05273742;0.0782943;0.000112598;0.000834367;-0.000730104;0.000952951;-0.007912301;0.004597142;-0.001701222;0.000992008;-0.000569668;0.000459188;-0.018536398;0.005243479;6
C00 - D48;Warm Male;-0.009855153;0.006905034;-0.0291211;0.08013931;0.000221539;0.000851169;-0.001156342;0.000967719;-0.006735646;0.004676897;-0.001971961;0.001007909;-0.000211635;0.000467563;-0.013267612;0.005262824;6
C00 - D48;Cold All;-0.020735212;0.009235447;-0.184726022;0.064347601;-0.000311772;0.001121885;-0.002834639;0.001020523;-0.009008346;0.006267611;-0.000947216;0.000899292;-0.001307969;0.00097733;-0.009065338;0.004471789;6
C00 - D48;Cold Female;-0.025258591;0.009659988;-0.205027783;0.067406462;0.000313373;0.001177992;-0.003063267;0.001068097;-0.011976277;0.006561737;-0.00160154;0.000942262;-0.000743034;0.001025633;-0.010992702;0.004690397;6
C00 - D48;Cold Male;-0.01568855;0.01003308;-0.16203039;0.06978608;-0.001012476;0.001213202;-0.002586374;0.00110797;-0.005712666;0.006801107;-0.000214336;0.000974786;-0.001954899;0.00105771;-0.006922905;0.004842274;6
C00 - D48;Age 0-10 All;-0.01687881;0.03295547;-0.1708569;0.2907909;-0.001935106;0.004134904;-0.00016913;0.004096364;-0.0106466;0.02262045;-0.00163009;0.003941012;-0.000835729;0.002648107;-0.04019966;0.0201684;6
