ICD10;AirP;AQHI;SA;CO;SC;O3;SO;PM2.5;SP;AQHIX;SX;NO2;SN;O3H8;SH;SO2;SS;LAG
E00 - E90;Male;0.007998899;0.007654508;0.06275936;0.06751977;-0.001358749;0.000921839;0.001633298;0.000957797;0.005475833;0.005216581;0.001351335;0.00091531;-7.35078E-05;0.000596465;0.003745578;0.004751332;1
E00 - E90;Warm All;0.01276875;0.005123488;0.14620533;0.06019663;-0.000728362;0.000600844;0.003096138;0.000712958;0.00849226;0.003489454;0.002125159;0.00076732;0.000475241;0.000340719;0.006175786;0.004020915;1
E00 - E90;Warm Female;0.015972984;0.006898173;0.10574535;0.08105884;-8.67286E-05;0.000810275;0.003890324;0.000959355;0.010872454;0.004699975;0.001828392;0.001034089;0.001044241;0.000459096;0.008740025;0.005410359;1
E00 - E90;Warm Male;0.009289217;0.007277346;0.19046827;0.08549431;-0.001419657;0.00085151;0.002231475;0.001015043;0.005883746;0.004953609;0.002446664;0.001088949;-0.000144216;0.000483123;0.003390785;0.005712991;1
E00 - E90;Cold All;0.012294427;0.006008869;0.03303332;0.04178544;-0.001167926;0.000755118;0.00128397;0.000670787;0.009178211;0.004108302;0.001265725;0.000586523;0.000503679;0.000675329;0.007653833;0.003015874;1
E00 - E90;Cold Female;0.019367067;0.008171179;0.05408947;0.05678976;-0.000740257;0.001022515;0.001506486;0.000912953;0.01379755;0.00558411;0.001779383;0.00079525;0.001117434;0.000918771;0.011105637;0.004097444;1
E00 - E90;Cold Male;0.004581054;0.00820407;0.01086495;0.05705678;-0.001664548;0.001035418;0.001041455;0.000914934;0.004120181;0.005612857;0.000705123;0.000803535;-0.000191274;0.000920689;0.003869713;0.004122474;1
E00 - E90;Age 0-10 All;0.02526536;0.03186702;0.2499637;0.2728171;-0.004071707;0.00383567;0.002249557;0.003986062;0.01396767;0.02175631;0.005168897;0.003673213;-0.002647905;0.0026035;0.01433038;0.01932461;1
E00 - E90;Age 0-10 Female;-0.01162167;0.04117398;0.0606296;0.3597563;-0.005340038;0.004870189;-0.003898099;0.005311502;-0.008551927;0.027881558;0.002960616;0.004705455;-0.005932916;0.003327068;0.005202472;0.02588781;1
E00 - E90;Age 0-10 Male;0.0588976;0.04013274;0.4131533;0.3375861;-0.003120338;0.004913563;0.007352671;0.004880817;0.03470108;0.02761215;0.007372958;0.004666867;0.000200219;0.003313407;0.02162017;0.02360587;1
E00 - E90;Age 11-60 All;0.01000212;0.008170725;0.03333754;0.0725559;-0.000827;0.000977767;0.002117915;0.00102262;0.006393837;0.005563147;0.001113102;0.000976749;0.000384492;0.000633244;0.006880794;0.00508898;1
E00 - E90;Age 11-60 Female;0.01614456;0.01150819;0.009722644;0.101896447;-0.000434716;0.001373482;0.003647886;0.001440306;0.008397979;0.007812388;0.001115737;0.001365597;0.000860155;0.000895467;0.014317672;0.007134215;1
E00 - E90;Age 11-60 Male;0.004039336;0.011260798;0.05483701;0.10023724;-0.001207556;0.001350839;0.000666074;0.001409801;0.004349791;0.007688394;0.001094337;0.001355552;-7.21888E-05;0.000869401;-0.000248838;0.007044763;1
E00 - E90;Age 60+All;0.01529163;0.007251402;0.0854063;0.06379462;-0.000733814;0.000876993;0.00214686;0.000906482;0.011430867;0.004945619;0.001929316;0.000866176;0.000776327;0.000567833;0.007288624;0.004486072;1
E00 - E90;Age 60+ Female;0.020359717;0.009512407;0.11411427;0.08383936;-0.000192977;0.001151349;0.002114506;0.001187374;0.016587708;0.006502555;0.002470687;0.00113914;0.00146222;0.000744287;0.0081896;0.005887975;1
E00 - E90;Age 60+ Male;0.008926614;0.010500359;0.04982796;0.09213627;-0.001413599;0.001267879;0.002185227;0.001315563;0.00503132;0.007141136;0.001258946;0.001250437;-8.82756E-05;0.000822439;0.006169275;0.006490628;1
E00 - E90;All: LAG2;0.011421421;0.005511301;0.06368757;0.04823457;0.000412365;0.000661477;0.001478628;0.000689391;0.00842216;0.003754936;0.000906978;0.000656397;0.001097785;0.000429965;0.005237769;0.003410464;2
E00 - E90;Female;0.009430308;0.00744694;0.05340231;0.06497438;0.000118295;0.000891287;0.001386255;0.000933491;0.00726379;0.005065854;0.000796626;0.00088492;0.000925239;0.000579955;0.004815074;0.004608197;2
E00 - E90;Male;0.013595924;0.007666085;0.0748621;0.06731026;0.00073701;0.000922509;0.00158219;0.000956757;0.009687469;0.005233017;0.001026558;0.00091514;0.001287911;0.000599462;0.005658311;0.004742955;2
E00 - E90;Warm All;0.011813726;0.005153625;0.14842939;0.05922159;0.000624881;0.000605231;0.00215406;0.000717636;0.009589794;0.003501377;0.001097462;0.000771141;0.00117242;0.000341532;0.001349881;0.004013922;2
E00 - E90;Warm Female;0.002653447;0.00693012;0.10769332;0.07918675;0.000317935;0.000811441;0.001319258;0.000969218;0.003795986;0.004698205;-0.000461;0.001033546;0.000898128;0.000458287;-0.007905991;0.00541589;2
E00 - E90;Warm Male;0.021853142;0.007298063;0.19372838;0.08446383;0.000973037;0.000860063;0.003057219;0.001012299;0.015976591;0.00497257;0.002816913;0.001095731;0.001477113;0.00048549;0.011370557;0.005659071;2
E00 - E90;Cold All;0.011986243;0.006036147;0.02241956;0.04184405;0.000158986;0.000750197;0.001053566;0.000673525;0.007404038;0.004134755;0.000829063;0.000587486;0.000989975;0.000681091;0.007688892;0.003028758;2
E00 - E90;Cold Female;0.020425526;0.008185658;0.02155632;0.05669339;8.42586E-05;0.001015684;0.001721948;0.000914138;0.012808808;0.005606185;0.001505816;0.000796026;0.001463954;0.000923417;0.012346834;0.004099456;2
E00 - E90;Cold Male;0.002616719;0.008243398;0.02299868;0.05717611;0.000227348;0.001025775;0.000312293;0.000918733;0.001440807;0.005647772;8.05103E-05;0.000802829;0.000465851;0.000930359;0.002472772;0.004144913;2
E00 - E90;Age 0-10 All;0.009467132;0.032286399;0.2085943;0.2682163;-0.006963126;0.003859646;0.002285521;0.004022535;0.01179381;0.02180119;0.004239667;0.003654022;-0.002284932;0.002649274;0.003012785;0.019367961;2
E00 - E90;Age 0-10 Female;-0.02627538;0.04144903;0.1311376;0.3456102;-0.005416124;0.004847409;0.000125155;0.005251404;-0.0254829;0.02778442;-0.000934281;0.004623241;-0.005847484;0.003369059;-0.02222636;0.02517275;2
E00 - E90;Age 0-10 Male;0.03958899;0.04088598;0.2611071;0.338828;-0.008565211;0.004985908;0.003830056;0.005011813;0.04585423;0.02786897;0.009070921;0.004703324;0.001019107;0.003390207;0.02432354;0.02427308;2
E00 - E90;Age 11-60 All;0.018210243;0.008160479;0.16036644;0.07145207;0.000274767;0.000976101;0.002091116;0.001022304;0.012794298;0.005560036;0.001815486;0.000973983;0.001193019;0.000634916;0.006437103;0.005093872;2
E00 - E90;Age 11-60 Female;0.02106074;0.0115226;0.16401753;0.09995926;7.36612E-05;0.001368374;0.002780243;0.001444013;0.013842216;0.007824035;0.002041046;0.001364849;0.00120069;0.000896606;0.007757519;0.007166701;2
E00 - E90;Age 11-60 Male;0.01546081;0.01122921;0.15643216;0.09919747;0.000470053;0.001351226;0.001436454;0.001406214;0.01175296;0.007675864;0.001589411;0.001349708;0.001183509;0.000873294;0.005131888;0.007028801;2
E00 - E90;Age 60+All;0.006376212;0.007288439;-0.01658453;0.06388836;0.000837031;0.000876828;0.000981964;0.000910867;0.004984791;0.004968256;6.77446E-05;0.000868363;0.001159165;0.000568779;0.004498497;0.004485714;2
E00 - E90;Age 60+ Female;0.002998989;0.009536242;-0.024006;0.08366875;0.000361371;0.001148151;0.000495578;0.001195248;0.004134609;0.006499009;3.41169E-05;0.001138353;0.000973638;0.000741984;0.004000033;0.005885069;2
E00 - E90;Age 60+ Male;0.0106418;0.01053269;-0.007016616;0.09221113;0.001427267;0.001265955;0.001599188;0.001311698;0.006064366;0.007182132;0.000109659;0.001251732;0.001398285;0.000825606;0.005141705;0.006461365;2
E00 - E90;All: LAG 3;0.01397187;0.0055187;0.10407973;0.04816682;8.79198E-05;0.000662375;0.00127287;0.000691394;0.009926146;0.003772737;0.001638209;0.000659268;0.000683554;0.000430717;0.000148282;0.00342227;3
E00 - E90;Female;0.015603868;0.007429066;0.1018823;0.06476559;0.000680873;0.000892141;0.001119289;0.000931822;0.010056848;0.005077282;0.001616135;0.000886069;0.000731902;0.000579951;-0.001917491;0.004602228;3
E00 - E90;Male;0.012159585;0.007701359;0.10599393;0.06729436;-0.000566433;0.000922794;0.001446074;0.000963127;0.009769722;0.005267175;0.001660292;0.000921625;0.000629983;0.000600598;0.002438022;0.004776195;3
E00 - E90;Warm All;0.012533364;0.005171621;0.15399495;0.05990397;0.001020856;0.000609386;0.001166136;0.000721815;0.00874621;0.003534449;0.0015433;0.000780005;0.000796234;0.000343599;0.003862944;0.004066564;3
E00 - E90;Warm Female;0.007944247;0.006935161;0.08064766;0.08038333;0.002482939;0.000816455;0.000464348;0.000969952;0.002687702;0.004732716;-0.000705465;0.001045419;0.000804882;0.000460164;-0.003774101;0.005475339;3
E00 - E90;Warm Male;0.017539368;0.007339474;0.23446903;0.084958157;-0.000585973;0.000864429;0.001929803;0.001021499;0.015440416;0.005023026;0.004026492;0.001106412;0.000784788;0.000488301;0.012136895;0.005739681;3
E00 - E90;Cold All;0.016448002;0.006024233;0.08374357;0.04151337;-0.001438895;0.000747544;0.001544647;0.000670201;0.011764045;0.004137108;0.001731404;0.000588672;0.000230892;0.000674431;-0.001634005;0.003018618;3
E00 - E90;Cold Female;0.025214842;0.008129836;0.11104222;0.05594529;-0.001988154;0.001010335;0.001848819;0.000905515;0.019059349;0.005591409;0.002784055;0.000793563;0.000387076;0.000912769;-0.000873386;0.004065269;3
E00 - E90;Cold Male;0.00668279;0.008266829;0.05221357;0.05704276;-0.000818926;0.001023611;0.00121414;0.000918344;0.003656228;0.005667552;0.000546577;0.000808705;6.65382E-05;0.000921947;-0.002516743;0.004149101;3
E00 - E90;Age 0-10 All;0.03710602;0.03226555;0.1978791;0.2741872;0.001339675;0.003858843;0.003366568;0.004057627;0.01828042;0.02179985;0.00337249;0.003686508;0.000692534;0.002585375;-0.009612458;0.019532787;3
E00 - E90;Age 0-10 Female;0.09147188;0.04021995;0.4358955;0.3599342;0.0040337;0.004915539;0.010809012;0.005064977;0.0370752;0.02735619;0.006925505;0.004620863;0.001291484;0.003262765;-0.0166528;0.02453061;3
E00 - E90;Age 0-10 Male;-0.01814563;0.04208851;-0.00401157;0.341358;-0.001103321;0.004932772;-0.004060801;0.005302073;-0.000471968;0.028214958;-0.000235608;0.004779806;0.000176465;0.003326104;-0.002904308;0.025240568;3
E00 - E90;Age 11-60 All;0.01958191;0.008165697;0.14061196;0.07140968;-0.00024273;0.00097534;0.00201783;0.001022821;0.014501324;0.005574757;0.002411354;0.000976244;0.000981715;0.000633205;0.007707977;0.005056177;3
E00 - E90;Age 11-60 Female;0.02236011;0.01146785;0.15037514;0.09944797;0.000934811;0.001362478;0.001668534;0.001438156;0.015782957;0.007833197;0.002294371;0.001365249;0.001404845;0.000891635;0.001663933;0.007095339;3
E00 - E90;Age 11-60 Male;0.01692671;0.01128678;0.13089591;0.09948431;-0.001393582;0.00135373;0.002338859;0.001411638;0.013315455;0.007703426;0.002533571;0.001354963;0.000582275;0.000872629;0.013436304;0.006987156;3
E00 - E90;Age 60+All;0.008688125;0.007296298;0.07198976;0.06363924;0.000288498;0.000878298;0.000610027;0.000913633;0.006052221;0.004995955;0.000968832;0.00087273;0.00044971;0.000571383;-0.005197639;0.004529267;3
E00 - E90;Age 60+ Female;0.008049187;0.009540441;0.05589323;0.0833442;0.000364609;0.001152578;0.000356053;0.001196201;0.005155434;0.00652257;0.000939801;0.001140669;0.000251872;0.000745288;-0.003755245;0.005914301;3
E00 - E90;Age 60+ Male;0.009437588;0.0105475;0.09063334;0.09181559;0.000188725;0.001263677;0.000923188;0.001318364;0.007157332;0.007235985;0.001002058;0.001262195;0.000697238;0.000828418;-0.006992864;0.006558559;3
E00 - E90;All: LAG 4;-0.001395584;0.005564491;0.008654708;0.048161656;6.0142E-05;0.000666062;-0.000619496;0.00069897;0.002287311;0.00379108;4.87892E-05;0.000664794;0.000499499;0.000429944;-0.000439017;0.003410098;4
E00 - E90;Female;0.001492168;0.007487861;0.01231195;0.06470821;0.0001824;0.000897464;-0.00040925;0.000941685;0.003732013;0.005103375;0.000346998;0.000894675;0.000532947;0.000579039;-0.003376064;0.004579969;4
E00 - E90;Male;-0.004590706;0.007760029;0.004538169;0.067286257;-6.87693E-05;0.000927523;-0.000848615;0.000973585;0.000682114;0.005285101;-0.000285787;0.000926992;0.000465373;0.000599167;0.002825626;0.004765497;4
E00 - E90;Warm All;0.00163107;0.005183239;0.04311323;0.05939446;0.000220015;0.000615138;-0.000182919;0.000723576;0.004325214;0.003525541;0.000338086;0.00077619;0.000604976;0.000343695;-0.001014665;0.004064733;4
E00 - E90;Warm Female;0.001867328;0.006943677;0.02843698;0.07941392;0.00093731;0.000823955;-0.00058609;0.000971349;0.003884741;0.004724468;-5.51295E-05;0.001040449;0.000715402;0.000460505;-0.005271759;0.005460825;4
E00 - E90;Warm Male;0.001352074;0.007363379;0.06016906;0.08457008;-0.000576889;0.000873856;0.000263682;0.001025412;0.004802768;0.005008179;0.000769146;0.001101987;0.00048273;0.000488378;0.00366775;0.005755172;4
E00 - E90;Cold All;-0.00597317;0.006093932;-0.003885596;0.041530339;-0.000260202;0.000745602;-0.000825554;0.000678769;-0.001176894;0.004179457;-0.000207583;0.000595797;8.14258E-05;0.000666674;0.000135197;0.002996494;4
E00 - E90;Cold Female;0.000584413;0.008244213;0.00707216;0.05607233;-0.000953011;0.001010545;1.45634E-05;0.000918533;0.002645083;0.005657047;0.000436313;0.000805627;-0.00011246;0.000903981;-0.001935345;0.004034514;4
E00 - E90;Cold Male;-0.01332402;0.00834672;-0.01626481;0.0570104;0.000513692;0.001018888;-0.001764245;0.000929363;-0.005468366;0.005720861;-0.000932102;0.000816368;0.000293355;0.000910745;0.002377867;0.00412592;4
E00 - E90;Age 0-10 All;0.02540693;0.03261127;0.04282426;0.27521343;-0.001355515;0.00390735;0.003671414;0.004059247;0.01229267;0.0219337;0.002944102;0.003744915;-0.000272531;0.002578376;0.000424841;0.019763497;4
E00 - E90;Age 0-10 Female;0.04926112;0.0410244;0.1104694;0.3659454;-0.001953684;0.004997925;0.007280283;0.005106342;0.02111681;0.02763873;0.005479977;0.00479938;-0.000683225;0.003193855;-0.01946849;0.02481225;4
E00 - E90;Age 0-10 Male;0.00256682;0.04203593;-0.01579738;0.33813159;-0.000568251;0.004955863;0.000197711;0.005233691;0.00405958;0.02823033;0.000562232;0.004743871;0.000347663;0.003378638;0.02163531;0.02559763;4
E00 - E90;Age 11-60 All;-0.003410946;0.00824752;0.02930655;0.07151146;-0.000410287;0.000980199;-0.001167242;0.001035294;0.003220281;0.005616073;0.0002858;0.000986371;0.000463767;0.000633839;-0.000625532;0.005065899;4
E00 - E90;Age 11-60 Female;-0.001977478;0.011572763;0.04909528;0.09992461;-0.000487319;0.001372569;-0.00093909;0.001450475;0.005384404;0.007893611;0.000453517;0.001384549;0.000809738;0.000891684;-0.000217804;0.007095526;4
E00 - E90;Age 11-60 Male;-0.004790888;0.011402949;0.01057702;0.09926957;-0.00033138;0.001357871;-0.001385146;0.00143378;0.001150147;0.007752387;0.000120537;0.001363282;0.000138122;0.000874206;-0.001143237;0.007016663;4
E00 - E90;Age 60+All;-0.000900226;0.00734091;-0.007406313;0.063519968;0.00048748;0.000883439;-0.000378804;0.000922988;0.001243763;0.005006551;-0.000250978;0.000877855;0.000570109;0.000569098;-0.000322559;0.004492826;4
E00 - E90;Age 60+ Female;0.002068274;0.009605261;-0.01509697;0.0829569;0.000729758;0.001158697;-0.000348523;0.001211259;0.002050612;0.0065464;8.26522E-05;0.001147623;0.000405344;0.000744451;-0.004805952;0.005868579;4
E00 - E90;Age 60+ Male;-0.00463723;0.01059955;0.002045717;0.091940067;0.00018372;0.001271816;-0.000418417;0.001327866;0.000222583;0.007235199;-0.000670717;0.001268926;0.000775381;0.000822063;0.00539936;0.006500558;4
E00 - E90;All: LAG 5;-0.004404298;0.005576783;-0.004329727;0.048223591;-0.000924265;0.000665359;-0.00080264;0.000698167;0.001401303;0.003803134;0.000252965;0.000667428;8.46374E-05;0.000431012;-0.002589235;0.003398526;5
E00 - E90;Female;-0.003658063;0.007498915;0.000247733;0.06487044;-0.001349588;0.000894415;-0.000546831;0.000939855;0.002304517;0.005116984;0.00050879;0.000897317;2.7597E-05;0.00057963;4.15518E-05;0.004544819;5
E00 - E90;Male;-0.0052702;0.007787976;-0.009596621;0.067310119;-0.00045007;0.000929551;-0.001092296;0.00097387;0.000399246;0.005307322;-3.46155E-05;0.000932194;0.000151125;0.0006018;-0.005608865;0.004775388;5
E00 - E90;Warm All;-0.00162523;0.005170261;0.0961339;0.05858586;-0.00195621;0.000615027;-0.000164862;0.000720965;0.003610697;0.003527599;0.001570982;0.000769969;-0.000128615;0.000345382;0.001368056;0.00400223;5
E00 - E90;Warm Female;-0.004912585;0.006913563;0.07777736;0.0785805;-0.002076757;0.000821858;-0.000641943;0.000964781;0.001307796;0.004722352;0.001145454;0.001032094;-0.000335397;0.000461544;0.000857306;0.005321138;5
E00 - E90;Warm Male;0.002063994;0.007350033;0.11709562;0.08304566;-0.001815034;0.000876275;0.00036973;0.001024047;0.006184456;0.005010344;0.002039959;0.001092588;0.00010637;0.00049139;0.001939182;0.005727418;5
E00 - E90;Cold All;-0.009496899;0.006149637;-0.05641288;0.04202799;0.000590676;0.000747143;-0.001398096;0.000679151;-0.002569334;0.004212171;-0.000674789;0.000603095;0.00085986;0.000664684;-0.005017112;0.003011992;5
E00 - E90;Cold Female;-0.004044157;0.00830853;-0.04511053;0.05671023;-1.19106E-05;0.001010809;-0.000476158;0.000918868;0.001494469;0.005693442;-0.000229196;0.000814111;0.001414796;0.000900356;-0.000718885;0.004049847;5
E00 - E90;Cold Male;-0.015629097;0.008426038;-0.06911694;0.05766717;0.001254412;0.001021873;-0.002425632;0.000929063;-0.007092346;0.005766883;-0.001174187;0.000827067;0.000248316;0.000908077;-0.009931126;0.004148951;5
E00 - E90;Age 0-10 All;0.05049596;0.03262529;-0.001800589;0.269836477;0.001300349;0.003899203;0.0089123;0.004030734;0.01888187;0.02207636;0.00277723;0.003749384;0.001562508;0.002594995;0.04695152;0.01869646;5
E00 - E90;Age 0-10 Female;0.03765192;0.04179469;0.2090122;0.3498138;0.001432277;0.004908948;0.011277585;0.005131963;-0.00639251;0.0281528;-0.000412542;0.004823083;-0.001153167;0.003276581;0.06117615;0.02388174;5
E00 - E90;Age 0-10 Male;0.06304443;0.04141801;-0.1912505;0.3393218;0.001248342;0.005021007;0.006759984;0.005153081;0.04310097;0.02812147;0.005714932;0.004738003;0.00428481;0.003335761;0.03413141;0.02377248;5
E00 - E90;Age 11-60 All;0.00206374;0.008234288;0.04924016;0.07145127;-0.000207286;0.000980163;-0.000595009;0.001030979;0.006272751;0.005616012;0.000795668;0.000988446;0.00070483;0.000634612;-0.003832513;0.005044828;5
E00 - E90;Age 11-60 Female;-0.002674041;0.011529755;0.04643518;0.1001976;-0.001172973;0.001371296;-0.001452439;0.001443339;0.007170738;0.007875175;0.001035281;0.001384095;0.000662805;0.000890651;-0.005925166;0.00706416;5
E00 - E90;Age 11-60 Male;0.006589129;0.011410664;0.05124356;0.09889001;0.000725703;0.001359354;0.000224621;0.001429015;0.005419296;0.007773194;0.000563068;0.001369844;0.000748628;0.000877719;-0.001873924;0.006992433;5
E00 - E90;Age 60+All;-0.011686319;0.007375307;-0.04472513;0.06373333;-0.0015826;0.000881618;-0.001381653;0.00092397;-0.003062836;0.005031349;-0.000270171;0.000882328;-0.000454213;0.000570559;-0.003973187;0.004489632;5
E00 - E90;Age 60+ Female;-0.005755517;0.009635593;-0.03793386;0.0832014;-0.001579415;0.001152449;-0.000374702;0.001209703;-0.000542835;0.006573701;0.000208102;0.00115204;-0.000351121;0.000744679;0.001561699;0.005811139;5
E00 - E90;Age 60+ Male;-0.01917379;0.01068152;-0.05289082;0.09238;-0.001587572;0.001276164;-0.002639018;0.001334694;-0.00621434;0.007284045;-0.000873606;0.00127848;-0.000579919;0.000827171;-0.011194791;0.006578959;5
E00 - E90;All: LAG 6;-0.005231424;0.005541637;-0.0358889;0.04864267;-0.001133681;0.000667808;-0.000271853;0.000690769;-0.003595977;0.003776545;-4.97237E-05;0.000662485;-0.000817456;0.000428908;-0.003997209;0.003338273;6
E00 - E90;Female;-0.002013249;0.00746224;-0.05226879;0.06536347;-0.00122295;0.000899545;-1.1365E-06;0.000930463;-0.00205561;0.005086505;0.000402628;0.000891653;-0.000918032;0.000577936;0.000515317;0.004491435;6
E00 - E90;Male;-0.008820406;0.007732977;-0.01785204;0.06803102;-0.001033227;0.000931918;-0.00057059;0.000963502;-0.005332791;0.005268621;-0.000556907;0.000924787;-0.000708377;0.000598338;-0.008996271;0.004662535;6
E00 - E90;Warm All;-0.008924035;0.005151639;-0.07059304;0.05911557;-0.001687022;0.000616869;-0.000399429;0.000714754;-0.006019456;0.00350539;-0.000456487;0.000763646;-0.000851737;0.000343811;-0.005628566;0.00394481;6
E00 - E90;Warm Female;-0.006159753;0.006919234;-0.12736405;0.07943863;-0.001006679;0.000827481;-0.000833865;0.000961805;-0.004327589;0.004711439;-0.000100838;0.001027394;-0.000721691;0.000461288;-0.000267729;0.00529105;6
E00 - E90;Warm Male;-0.012007989;0.007297206;-0.008516193;0.083651353;-0.002435875;0.000875687;7.22975E-05;0.001009888;-0.007930909;0.004961136;-0.000859475;0.00107929;-0.000998205;0.000487808;-0.01158903;0.00559503;6
E00 - E90;Cold All;0.000856568;0.006079872;-0.01513942;0.04228124;-0.000504143;0.000749919;-0.000181042;0.000669995;0.000955198;0.004175833;0.000377913;0.000598459;-0.000710448;0.000659009;-0.003072015;0.002955862;6
E00 - E90;Cold Female;0.004120443;0.008205188;-0.01294465;0.05694226;-0.001710661;0.00101447;0.000732804;0.000903449;0.001516045;0.005633099;0.000804691;0.000807542;-0.001749323;0.00089167;0.001254061;0.003995045;6
E00 - E90;Cold Male;-0.002824872;0.00835666;-0.01811726;0.05825446;0.000835794;0.0010277;-0.001208228;0.000921557;0.000310422;0.005742741;-0.00010213;0.000822725;0.000439174;0.00090294;-0.007889726;0.004056058;6
E00 - E90;Age 0-10 All;0.06250398;0.03215441;0.1393382;0.2653561;0.004571701;0.003859305;0.00552539;0.003988243;0.01942369;0.02198612;0.004468278;0.003713267;-0.000306007;0.002612546;0.008266435;0.018836216;6
E00 - E90;Age 0-10 Female;0.108380942;0.0406571;0.65861812;0.33549654;0.001565398;0.004867715;0.010089464;0.005008391;0.05269639;0.02780588;0.011390291;0.004755786;0.000361071;0.0032692;0.04028951;0.02325281;6
E00 - E90;Age 0-10 Male;0.01697597;0.04131505;-0.3764573;0.3427945;0.007803167;0.004964117;0.001007127;0.005155695;-0.01409191;0.02819423;-0.002191731;0.004708247;-0.000948965;0.003383612;-0.0253672;0.02470833;6
E00 - E90;Age 11-60 All;0.001795122;0.008179045;0.0363379;0.07222553;-0.001381462;0.000981807;0.000683679;0.001019283;0.003129764;0.005571941;0.000817411;0.000979846;-8.03044E-05;0.000629524;-0.004826769;0.004928945;6
E00 - E90;Age 11-60 Female;-0.001737882;0.011430176;-0.02147172;0.10068905;-0.001322492;0.001374373;0.000166943;0.001427443;0.000466819;0.007787814;0.000445838;0.001367912;-0.000336507;0.000883157;-0.008015449;0.006929231;6
E00 - E90;Age 11-60 Male;0.00510805;0.01136919;0.0913406;0.1006482;-0.001433306;0.001363076;0.001168236;0.001414057;0.005647245;0.00774444;0.001163969;0.001363489;0.000164827;0.000871891;-0.001849641;0.0068138;6
E00 - E90;Age 60+All;-0.013544835;0.007325203;-0.09979611;0.0641817;-0.001189404;0.000886096;-0.001269287;0.000913387;-0.009706471;0.004992256;-0.000915633;0.000875557;-0.001407777;0.000568525;-0.0039027;0.004418666;6
E00 - E90;Age 60+ Female;-0.006424181;0.009606597;-0.10557421;0.08403383;-0.001253595;0.001160538;-0.000524574;0.001197248;-0.005771712;0.006548704;-6.30227E-05;0.001147478;-0.001342253;0.000744392;0.004615343;0.005766027;6
E00 - E90;Age 60+ Male;-0.02235668;0.01056998;-0.09260043;0.09279566;-0.001114132;0.001280487;-0.002187445;0.001318634;-0.01457906;0.007201897;-0.001972287;0.001263976;-0.001491502;0.000822354;-0.0146007;0.00641384;6
E00 - E90;All: LAG 7;-0.007124514;0.005517696;-0.06344359;0.04915494;-0.000390758;0.00066667;-0.000862954;0.000689749;-0.003547537;0.003747571;-0.00051507;0.000656977;-0.000324656;0.000428591;-0.001697922;0.003327704;7
E00 - E90;Female;-0.005830924;0.007448357;-0.09950048;0.06620884;-0.000345322;0.000898138;-0.000891456;0.00093139;-0.002114523;0.005061284;-0.000313709;0.000885419;-0.000193695;0.000579304;0.004538072;0.004480162;7
E00 - E90;Male;-0.008555481;0.007675304;-0.02381403;0.06853063;-0.00044051;0.000929256;-0.000830738;0.000959145;-0.005125434;0.005209489;-0.000740128;0.00091534;-0.00046697;0.000595259;-0.008548705;0.0046394;7
E00 - E90;Warm All;-0.004256593;0.005156878;-0.06486675;0.05964917;-0.000319423;0.000614569;-7.96443E-05;0.000717198;-0.00403027;0.003488422;-0.000713267;0.00075433;-0.000369677;0.000344792;-0.005165037;0.003931924;7
E00 - E90;Warm Female;-0.009733894;0.006923122;-0.15399383;0.0802697;-5.24452E-05;0.000823153;-0.001577527;0.000965649;-0.00530134;0.004688356;-0.001424819;0.001012991;-0.000235312;0.000463324;-0.004793546;0.005273939;7
E00 - E90;Warm Male;0.00174383;0.007282796;0.03226511;0.08399147;-0.000625396;0.000870278;0.001535414;0.001009067;-0.002605885;0.004921584;8.26889E-05;0.001064981;-0.000518388;0.000486523;-0.005635104;0.005559561;7
E00 - E90;Cold All;-0.011562726;0.006006087;-0.06240109;0.04275935;-0.00053184;0.000751394;-0.001599398;0.000666023;-0.003184449;0.004119719;-0.000418577;0.000593748;-0.000234584;0.000652392;-0.000148705;0.002947045;7
E00 - E90;Cold Female;-0.001414718;0.008121179;-0.08584886;0.05757921;-9.32619E-05;0.001015172;-0.000397521;0.0008997;0.000998757;0.005568139;4.75797E-05;0.000801479;0.000327387;0.000882026;0.009159107;0.003978383;7
E00 - E90;Cold Male;-0.022789891;0.00820516;-0.03637405;0.05868253;-0.001018623;0.001027091;-0.002926908;0.000910985;-0.007805352;0.005628966;-0.000939804;0.000812359;-0.000843351;0.000891207;-0.010379417;0.004025766;7
E00 - E90;Age 0-10 All;0.04654797;0.03178879;0.1875641;0.2681707;-0.00378437;0.003819278;0.002727208;0.003955808;0.04052102;0.02178383;0.008274619;0.003698397;0.000667378;0.00255887;0.01963062;0.0184418;7
E00 - E90;Age 0-10 Female;0.06603214;0.04035773;0.4436456;0.3471068;-0.003670313;0.00482559;0.001920342;0.005132088;0.06127818;0.02749478;0.0118755;0.004717349;0.002012422;0.003198865;0.04748677;0.02284637;7
E00 - E90;Age 0-10 Male;0.02898569;0.04067083;-0.03405595;0.33722445;-0.003934542;0.004900942;0.003439609;0.004953778;0.0211881;0.02801953;0.005087388;0.004711601;-0.000677487;0.003316399;-0.00853369;0.02422304;7
E00 - E90;Age 11-60 All;-0.014653752;0.008175103;-0.02539077;0.07328874;-0.00168249;0.000982959;-0.00143266;0.001025127;-0.007634393;0.005543149;-0.00069597;0.000974243;-0.001136996;0.000631204;-0.003805766;0.004960322;7
E00 - E90;Age 11-60 Female;-0.0204928;0.01144352;-0.1158362;0.1019396;-0.002269128;0.001374855;-0.002203799;0.001437904;-0.007901566;0.007746622;-0.000931979;0.001356218;-0.000967161;0.000888552;-0.000619245;0.006977348;7
